yue	eng
咁 我 而家 就 好 快趣 畀 大家 睇下 Romo 事實上 佢 喺度 直播 緊 你 可以 睇到 我 同埋 成班 TED 觀眾 如果 我 跑 到 Romo 嘅 前面 如果 我 想要 控制 佢 我 可以 直接 駕駛 佢 我 可以 揸 佢 去 唔同 嘅 地方 我 又 可以 用 佢 幫 你哋 影相 我 一直 都 想要 一 幅 有 1 500 位 TED 觀眾 嘅 相 咁 等 我 影 返 幅 先 好似 你 碌 iPad 一樣 我 可以 碌 螢幕 嚟 控制 機械人 上面 攝影機 嘅 角度 呢個 就係 Romo 眼中 嘅 你哋 啦 仲有 因為 Romo 係 我 嘅 工具 所以 我 可以 利用 佢 嚟 表達 我 嘅 心情 包括 用 iPad 將 Romo 變得 興奮	So I ll show you really quickly Romo actually he s streaming video so you can see me and the entire TED audience If I get in front of Romo here And if I want to control him I can just drive So I can drive him around and I can take pictures of you I ve always wanted a picture of a 1 500 person TED audience So I ll snap a picture And in the same way that you scroll through content on an iPad I can actually adjust the angle of the camera on the device So there are all of you through Romo s eyes And finally because Romo is an extension of me I can express myself through his emotions So I can go in and I can say let s make Romo excited
我 決定 壯烈 犧牲 我 自己	I will sacrifice myself
我 淨係 叫 你 講 一句 你 鍾意 我 啫	I asked you to say you like me
因為 佢 非常 簡單	because it was very simple
由 嗰 日 開始 我 知道 我 大個 咗 之後	And that day I knew that when I grew up
尤其 係 喺 呢個 時代 乜 都 有 記載	particularly in an era where everything is cataloged
自己 照顧 自己 都 係 一餐 諸如此類	you ve got your fend for yourself nights and so on
笑聲	Laughter
但係 如果 呢啲 國家 計埋 大自然 資源	but in these countries if we measure how much they re worth to the poor
最終 同埋 至少 目前 呢個 就係 我哋 嘅 紅 地氈 就喺 呢度 呢個 係 目前 我哋 所知 唯一 適 居 嘅 行星 雖然 好 快 我哋 可能 會 發現 仲有 其他 嘅 但係 目前 呢個 係 唯一 適 居 嘅 行星 呢個 就係 我哋 嘅 紅 地氈 我 真係 好 高興 我哋 都 喺度	In the end and for now at least this is our red spot right here This is the only planet that we know of that s habitable although very soon we may come to know of more But for now this is the only habitable planet and this is our red spot I m really glad we re here
呢點 好重要 因為 我哋 宜家 生活 嘅係 都市 年代 歷史上 第一次 大部分 人 都 住喺 城市 聯合國 估計 40 年內 全球 人口 增加 一倍 所以 城市規劃 對 我哋 未來 好 關鍵 彭博 市長 2007 年 提出 紐約 計畫 嘅時候 佢 已經 意識到 呢一點 個 計畫 指出 城市 好似 全球 市場 嘅 商品 一樣 如果 我哋 想 繼續 發展 繁榮 吸引 多 一百萬 有意 移居 紐約 嘅人 移居 我哋 就 需要 關注 生活 質素 基礎設施 嘅 效率	This is important because we live in an urban age For the first time in history most people live in cities and the U N estimates that over the next 40 years the population is going to double on the planet So the design of cities is a key issue for our future Mayor Bloomberg recognized this when he launched PlaNYC in 2007 The plan recognized that cities are in a global marketplace and that if we re going to continue to grow and thrive and to attract the million more people that are expected to move here we need to focus on the quality of life and the efficiency of our infrastructure
而 呢份 就是 我哋 嘅 一 頁 摘要	This is our one page summary
大腦 嘅 實時 運行	directly at brain function in real time
所以 我 有時 會 唔 著 底褲	so sometimes I didn t wear panties
他們 不會 給 忽略 的	are not to be dismissed
而 又 無聲 無色 喺 身邊 發生 嘅人 生 戲劇	playing out silently
法國 無 顏色 咩	Don t you have color in France
我哋 只係 假扮 保護 佢哋	that we pretend to protect
就係 我哋 都 係 來自 非洲	is that we all stem from Africa
掌聲	Applause
啲 錢 又 zuk1 到 埋嚟 囉喎	They gave me money
係 80 號 公路 邉	off of Route 80
咁 肥 㗎咩	Is she that plump
仲 學 講 幾 句 中文	and she even managed to say a few words in Chinese
係 孜孜不倦 嘅 舞蹈	is a dance I m never going to get tired of
自我 的 鬥爭	The self s struggle
我 經常 用 錄音機 嚟 發信 息	I was always sending messages to my future self
我哋 約 魯 巴 人 有 句 話 È k ó gb ol è ó gb ọ l ẹ 可以 翻譯 為 拉 哥 斯 歡迎 任何人 但係 呢 嗰句話 越嚟越 假 好多 拉 哥 斯 人 包括 早 過 我 爺爺 好幾 代 就來 到 拉 哥 斯 嘅 漁民 嘅 後裔 宜家 正 被 趕走 因為 一個 就嚟 成為 新 杜拜 嘅 城市 已經 容 唔落 佢哋 拉 哥 斯 激發 人 有 大 夢想 甚至 激發 呢度 嘅 領袖 歷屆 政府 都 有 宏願 建立 一個 冇 貧 人 嘅 大城市 唔好 彩 嘅係 政府 嘅 策略 唔係 幫 窮人 擺脫 貧困 而係 將 窮人 趕走	Among the Yoruba we have a saying Èkó gb olè ó gb ọ lẹ which can be translated to mean that Lagos will welcome anyone But that saying is becoming less and less true Many Lagosians including the descendants of those fisherpeople who arrived generations before my grandfather are now being pushed out to make room for an emergent city that has been described as the new Dubai You see Lagos inspires big dreams even in its leaders and successive governments have declared aspirations towards a megacity where poverty does not exist Unfortunately instead of focusing on the eradication of poverty as you would expect the strategy of choice focuses on eliminating the poor
呢啲 都 唔係 一個人 購買 安全套 之前 所 諗 嘅嘢 笑聲 你 喺 買 安全套 之前 會 諗 啲 乜嘢 性 喺 呢度 銷售 安全套 嘅 私人 公司 瞭解 到 呢一點 以至 佢哋 嘅 宣傳 策略 有所不同 名稱 可能 差唔多 但 包裝 就 差 好 遠 有啲 牌子 雄心勃勃 包裝 極 具 誘惑	Now these are not the kinds of things that someone is thinking about just before they go get a condom Laughter What is it that you think about just before you get a condom Sex And the private companies that sell condoms in these places they understand this Their marketing is slightly different The name might not be much different but the imagery sure is Some brands are aspirational and certainly the packaging is incredibly provocative
關於 報復 式 散佈 色情 我 想 講 呢 一次 推特 貼 文 事件 嘅 來龍去脈 係 我 連絡 志同道合 一齊 爭取 網路 安全 同 自由 我哋 開頭 建立 名 為 Speech Project 嘅 網站 抵制 網路 暴力 伸張 自由 個 網站 係 一個 非常重要 嘅 平臺 因為 到 而家 都 未有 國際 合法 嘅 組織 應對 針對 女性 嘅 網路 暴行 但係 我哋 可以 做嘅 就係 喺 呢個 網站 度 列出 明確 嘅 定義 因為 如果 我哋 無 統一 界定 標準 就 唔可以 準確 打擊 暴力 我 又 發現 報復 式 色情 圖文 經常 被 危險 使用 嗰啲 未經 同意 情況 下 轉發 嘅 圖片 都 係用 嚟 刻意 羞辱 侮辱 女性 試圖 色情 化 女性 我 唔知 大家 對 女性 美 嘅 定義 係點 我 認 為 女性 美 本身 係 美麗 美好 嘅 而 唔應該 表現 為 色情 淫穢	And I want to say a word about revenge porn Part of what came out of this tweet was my getting connected with allies and other activists who are fighting for a safe and free internet We started something called the Speech Project curbing abuse expanding freedom And that website provides a critical forum because there is no global legal thing to help us figure this out But we do provide on that website a standardized list of definitions because it s hard to attack a behavior in the right way if we re not all sharing a definition of what that behavior is And I learned that revenge porn is often dangerously misapplied It is the nonconsensual sharing of an image used tactically to shame and humiliate a girl or woman that attempts to pornography us Our natural sexuality is I don t know about yours pretty gorgeous and wonderful And my expressing it does not pornography make
唔怪得之 你 冇 車牌 喇	No wonder you have no driving license
無意 之中 碾壓 咗 創造力	and squashing inadvertently
例如 話 有 一種 新嘅 超級 細菌 出現	Say a new super bug has emerged
呢度 係 里約	That s Rio
Helen Walters 所以 你 Jeff 我 陣間 會 再 同 你 講 所以 你 用咗 好多時 間 去 圖像 繪製 個 台	HW So you spent Jeff I ll get to you in a minute so you spent a lot of time mapping the stage
連接 盒 在 脊髓 入邊	that that junction box in the spinal cord
沒 足球 沒 橄欖球	without soccer without football
被 插 滿 咗 各種 輸液 管	and had tubes shoved down it
意想 唔到 嘅 事發 生 左	And the unimaginable happened
證明 啲 事情 其實 會 改變	And as evidence that things can actually change
當 你 搖下 父母 嘅 性別 會 轉變	where you shake and the sexuality of the parents change
要點 樣 去 詮釋 經文 係 更加 困難 嘅 課題	the facts were true
他們 在 天花板 上裝 灑水 器	and they have sprinklers in the ceiling
你 有否 目睹 或者 參與 任何	Have you ever witnessed or participated in any act
佢哋 嘅 故事	their story
佢地 不停 問 我 你 呢 呢度 有咩 目的	They kept asking me What is the purpose of your project
森林 工作者 聯盟 同埋 企業	of forest workers unions and of businesses
佢哋 嘅 客戶 並 唔係	the audience tends to be
佢哋 仲 推銷 專上教育 係 地位 嘅 象徵 買 學位 同 你 買 架 凌志 買 個 LV 一樣 係 買 嚟 抬 高身 價 靠 佢 你 可以 招人 妒忌 學位 已經 淪 為 品牌	Higher education is also marketed as a status object Buy a degree much like you do a Lexus of a Louis Vuitton bag to distinguish yourself from others So you can be the object of envy of others Diplomas are a brand
或者 有 著數 呢	Why not It will help
對於 一個 受盡 飢餓 折磨 嘅 細路 嚟講	For a hungry child politics and freedom
點燃 革命 之 火	is fan the flames of the revolution
我 個 囡 由 科威特 嚟 到 英格蘭 因為 佢 喺 阿拉伯 讀 中學 佢 用 阿拉伯文 讀 科學 同 數學 喺 英國 文法學校 裏面 佢 要 翻譯 所有 嘢做 英文 而 佢 呢 兩 科 擺 全班 第一 呢樣 話畀 我哋 聽 當 外國 學生 嚟 搵 我哋 我哋 未必 有 按 到 佢哋 所知 道 嘅嘢 畀 足 分 因為 佢哋 用 佢哋 自己 嘅 語言 去 講 佢哋 知道 嘅嘢 當 一個 語言 消失 我哋 唔肯 定 有咩 係 同 個 語言 一齊 消失	My daughter came to England from Kuwait She had studied science and mathematics in Arabic It s an Arabic medium school She had to translate it into English at her grammar school And she was the best in the class at those subjects Which tells us that when students come to us from abroad we may not be giving them enough credit for what they know and they know it in their own language When a language dies we don t know what we lose with that language
食物 顏料 嚟 食 唔死 你 㗎	Food coloring is edible
或者 香港	or Hong Kong
我哋 係 歐盟 入面 對於	The lowest perception in the E U
甚至 帶有 暴力	and even violent
呢啲 都 係 行為 問題	these are behavior problems
呢啲 都 係 戰爭 留低 嘅 傷口	that were the violation of war
並 試圖 找到 切入 點去 融入	and trying to plug in
如果 我們 能 降低 耕作 建築 製造 的 成本	If we can lower the barriers to farming building manufacturing
聽到 呢個 字 法拉 又 即刻 喊 番 Kufungisisa 係 當地 話 抑鬱症 嘅 意思 直譯 就係 諗 太 多 世界 衛生 組織 統計 依家 全世界 有多 過 三 億 人 有 抑鬱症 即係 我 個 國家 叫 嘅 Kufungisisa 世界 衛生 組織 又話 全世界 每 四十 秒 就 有 一個人 因為 抑鬱症 或者 Kufungisisa 而 自殺 呢啲 自殺 個案 多數 出現 喺 中 低收入 國家	The word kufungisisa opens up a floodgate of tears So kufungisisa is the local equivalent of depression in my country It literally means thinking too much The World Health Organization estimates that more than 300 million people globally today suffer from depression or what in my country we call kufungisisa And the World Health Organization also tells us that every 40 seconds someone somewhere in the world commits suicide because they are unhappy largely due to depression or kufungisisa And most of these deaths are occurring in low and middle income countries
